Id;Designator;Footprint;Quantity;Designation;Supplier and ref;;Added;Have
1;C1;C_0805_2012Metric;1;4.7µF 35V;;;v;
2;TP1;TestPoint_Pad_D1.0mm;1;VCC;;;;v
3;U1;MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm;1;LM3407MY;;;v;
4;R4;R_0603_1608Metric;1;40.2kΩ;;;;v
5;R3;R_0603_1608Metric;1;1kΩ;;;;v
6;R2;R_0603_1608Metric;1;3.09Ω;;;v;
7;R1;R_0603_1608Metric;1;4.7kΩ;;;;v
8;L1;L_Taiyo-Yuden_NR-40xx_HandSolderingCompact;1;150µH;;;v;
9;J5;SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm;1;GND;;;;v
10;J4;SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm;1;DIM;;;;v
11;J3;SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm;1;VIN;;;;v
12;J2;SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm;1;LED-;;;;v
13;J1;SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm;1;LED+;;;;v
14;D1;D_SOD-323_HandSoldering;1;SS0840WS;;;;v
15;C3;C_0603_1608Metric;1;1µF;;;;v
16;C2;C_1206_3216Metric;1;4.7µF 50V;;;v;
17;XX;XX;3;LED;;;v;
